Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: US Airways Inc. (US)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"US","01/30/2015","0632","N555AY","PHX","05:07","05:52"
"US","01/30/2015","0698","N914UY","CLT","15:16","15:05"
"US","01/30/2015","1830","N105UW","CLT","11:01","11:25"
"US","01/30/2015","1898","N163US","CLT","23:53","00:20"
"US","01/30/2015","2017","N112US","CLT","16:05","16:13"
"US","01/30/2015","2042","N192UW","CLT","09:19","09:14"
"US","01/31/2015","0425","N549UW","PHX","16:54","17:19"
"US","01/31/2015","0622","N640AW","PHX","23:09","22:52"
"US","01/31/2015","0630","N576UW","PHX","20:30","20:15"
"US","01/31/2015","0698","N917US","CLT","15:16","15:28"
"US","01/31/2015","1830","N745VJ","CLT","11:01","10:57"
"US","01/31/2015","1898","N157UW","CLT","23:53","00:02"
"US","01/31/2015","2017","N624AW","CLT","16:05","16:01"
"US","01/31/2015","2042","N547UW","CLT","09:19","09:04"
"US","02/01/2015","0425","N556UW","PHX","16:54","00:21"
"US","02/01/2015","0622","","PHX","23:09","00:00"
"US","02/01/2015","0630","","PHX","20:30","00:00"
"US","02/01/2015","0632","","PHX","05:07","00:00"
"US","02/01/2015","0698","N193UW","CLT","15:16","15:15"
"US","02/01/2015","1830","N542UW","CLT","11:01","10:52"
"US","02/01/2015","2017","N103US","CLT","16:05","15:48"
"US","02/02/2015","0425","N563UW","PHX","16:54","17:20"
"US","02/02/2015","0622","N680AW","PHX","23:09","23:30"
"US","02/02/2015","0630","N195UW","PHX","20:30","01:21"
"US","02/02/2015","0698","N521UW","CLT","15:16","16:10"
"US","02/02/2015","1830","","CLT","11:01","00:00"
"US","02/02/2015","2017","N114UW","CLT","16:05","00:00"
"US","02/02/2015","2042","","CLT","09:19","00:00"
"US","02/03/2015","0425","N914UY","PHX","16:54","17:05"
"US","02/03/2015","0622","N663AW","PHX","23:09","22:57"
"US","02/03/2015","0698","N187US","CLT","15:16","15:30"
