Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"OH","04/22/2019","5444","N537EA","DCA","16:23","16:04"
"OH","04/22/2019","5458","N718PS","DCA","14:30","14:22"
"OH","04/23/2018","5080","N223JS","RDU","09:22","09:39"
"OH","04/23/2019","5444","N546FF","DCA","16:23","15:57"
"OH","04/23/2019","5458","N712PS","DCA","14:30","14:46"
"OH","04/24/2018","5080","N250PS","RDU","09:22","09:29"
"OH","04/24/2019","5444","N534AE","DCA","16:23","16:01"
"OH","04/24/2019","5458","N515AE","DCA","14:30","14:09"
"OH","04/25/2018","5080","N206PS","RDU","09:22","09:40"
"OH","04/25/2019","5444","N537EA","DCA","16:23","16:24"
"OH","04/25/2019","5458","N703PS","DCA","14:30","14:34"
"OH","04/26/2018","5080","N259PS","RDU","09:22","09:19"
"OH","04/26/2019","5444","N720PS","DCA","16:23","17:48"
"OH","04/26/2019","5458","N530EA","DCA","14:30","00:00"
"OH","04/27/2018","5080","N253PS","RDU","09:22","10:46"
"OH","04/27/2018","5085","N253PS","DCA","20:46","20:50"
"OH","04/27/2019","5444","N520DC","RDU","10:30","10:34"
"OH","04/27/2019","5458","N520DC","DCA","14:30","17:52"
"OH","04/28/2019","5444","N514AE","DCA","16:19","16:02"
"OH","04/28/2019","5458","N521AE","DCA","14:30","17:48"
"OH","04/29/2018","5035","N207PS","DCA","16:11","16:12"
"OH","04/29/2018","5080","N213PS","RDU","09:22","09:18"
"OH","04/29/2019","5444","N512AE","DCA","16:23","16:06"
"OH","04/29/2019","5458","N537EA","DCA","14:30","14:23"
"OH","04/30/2018","5080","N242JS","RDU","09:22","09:18"
"OH","04/30/2019","5444","N522AE","DCA","16:23","16:09"
"OH","04/30/2019","5458","N702PS","DCA","14:30","14:35"
"OH","05/01/2018","5080","N237PS","RDU","09:22","09:09"
"OH","05/01/2019","5444","N534AE","DCA","16:23","16:07"
"OH","05/01/2019","5458","N500AE","DCA","14:30","14:04"
"OH","05/02/2018","5080","N218PS","RDU","09:22","09:08"
"OH","05/02/2019","5444","N515AE","DCA","16:23","16:40"
"OH","05/02/2019","5458","N703PS","DCA","14:30","15:24"
"OH","05/03/2018","5080","N241PS","RDU","09:22","09:16"
"OH","10/04/2018","5195","N256PS","RDU","07:44","07:37"
"OH","10/04/2018","5216","N209PS","DCA","14:10","15:35"
"OH","10/05/2018","5195","N209PS","RDU","07:44","07:37"
"OH","10/05/2018","5216","N246PS","DCA","14:10","14:46"
"OH","10/06/2018","5195","N246PS","RDU","07:44","07:38"
"OH","10/06/2018","5216","N209PS","DCA","14:10","14:40"
"OH","10/07/2018","5195","N209PS","RDU","07:44","07:40"
"OH","10/07/2018","5216","N249PS","DCA","14:10","14:08"
"OH","10/08/2018","5195","N245PS","RDU","07:44","07:37"
"OH","10/08/2018","5216","N258PS","DCA","14:10","15:40"
"OH","10/09/2018","5195","N249PS","RDU","07:44","08:15"
"OH","10/09/2018","5216","N207PS","DCA","14:10","14:25"
"OH","10/10/2018","5195","N216PS","RDU","07:44","07:45"
"OH","10/10/2018","5216","N221PS","DCA","14:10","14:30"
"OH","10/11/2018","5195","N540EA","RDU","07:44","10:50"
"OH","10/11/2018","5216","N257PS","DCA","14:10","17:56"
"OH","10/12/2018","5195","","RDU","07:44","00:00"
"OH","10/12/2018","5216","N244PS","DCA","14:10","14:20"
"OH","10/13/2018","5195","N260JS","RDU","07:44","07:37"
"OH","10/13/2018","5216","N246PS","DCA","14:10","14:06"
"OH","10/14/2018","5195","N246PS","RDU","07:44","07:19"
"OH","10/14/2018","5216","N215PS","DCA","14:10","13:58"
"OH","10/15/2018","5195","N202PS","RDU","07:44","07:46"
"OH","10/15/2018","5216","N230PS","DCA","14:10","15:39"
"OH","10/16/2018","5195","N253PS","RDU","07:44","07:30"
"OH","10/16/2018","5216","N202PS","DCA","14:10","14:26"
"OH","10/17/2018","5195","N202PS","RDU","07:44","07:35"
